sentence,highlight,category,subcategory,polarity
"However, surely this money could be put to better purposes - reducing the national debt or towards scientific research - rather than merely increasing the already vast Royal fortune.",the already vast Royal fortune,APPRECIATION,REACTION,NEG
"Nowadays, it is fair to say, politicians run the country and the Queen's 'Rubber Stamp' on documents and laws is a mere formality.",a mere formality,APPRECIATION,WORTH,NEG
"The Monarch has, effectively, no power to stop a bill any longer.",has no power,JUDGEMENT,CAPACITY,NEG
The only political use in having a Monarch is the length of the reign.,NONE,NONE,NONE,NONE
Most Monarchs have seen enough political scandal and disorder to be able to advise the Prime Minister well on political matters; that is if he chooses to take heed of what the Monarch says.,to be able to advise,JUDGEMENT,CAPACITY,POS
The Monarchy bring themselves into disrepute and are at the centre of endless scandals.,endless scandals,JUDGEMENT,PROPRIETY,NEG
"Nothing however, has changed in this respect.",nothing has changed,APPRECIATION,REACTION,NEG
Henry VIII is reputed to have had more than twenty children by women other than his eight wives.,NONE,NONE,NONE,NONE
"In the days when a message would take a week to reach from London, these actions were unheard of or simply (if heard about) ignored.",NONE,NONE,NONE,NONE
"In such a well documented age as ours, with the quality of journalism reaching new heights, even the Monarchy could not fail to take notice of its own indiscretions.",the quality of journalism reaching new heights,JUDGEMENT,CAPACITY,POS
"In such a well documented age as ours, with the quality of journalism reaching new heights, even the Monarchy could not fail to take notice of its own indiscretions.",could not fail to take notice of its own indiscretions,JUDGEMENT,CAPACITY,POS
"As for being the head of the Church of England, Prince Charles admitted to having had an affair on National Television.",NONE,NONE,NONE,NONE
"Surely even he knows that:
	""Thou shalt not commit adultery""
is one of the Ten Commandments; one of the ten basic principles in which he is supposed to believe.",NONE,JUDGEMENT,PROPRIETY,NEG
These levels of hypocrisy do no more than ridicule a country for which the Monarchy used to be the glory.,hypocrisy / ridicule / used to be the glory,JUDGEMENT,PROPRIETY,NEG
"This, admittedly, is an important rôle and can often lead to closer trade links with countries.",important role,APPRECIATION,WORTH,POS
This often creates much needed investments in our industries and ever expanding overseas markets.,much needed,APPRECIATION,WORTH,POS
Even I can admit that the Monarchy is a figurehead for this country.,figurehead,APPRECIATION,WORTH,POS
"Although the magnitude of the rôle is, perhaps, decreasing, the Monarch is still the head of the Commonwealth and can inspire much excitement on overseas visits, if not at home.",can inspire much excitement,JUDGEMENT,CAPACITY,POS
"In my opinion, even with all the benefits of having a Monarchy, the disadvantages carry much more weight.",the disadvantages carry much more weight,APPRECIATION,REACTION,NEG
"The , however, is that the Monarchy has no devoted following any longer.",NONE,NONE,NONE,NONE
"More devotion is seen weekly at football matches, more inspiration is taken from a favourite player and the newspapers are viewed more keenly for articles about top players; studied more favourably than any Royal incident.",studied more favourably than any Royal incident,APPRECIATION,WORTH,NEG
Even if the Monarchy could its scandalistic tendencies I believe the damage has already been done.,scandalistic tendencies,JUDGEMENT,PROPRIETY,NEG
The Monarchy is a dying race in our country.,a dying race,JUDGEMENT,CAPACITY,NEG
"It will, no doubt, struggle on supported by taxpayers money and never quite become extinct.",NONE,NONE,NONE,NONE
"But, when viewed realistically, the Monarchy no longer has a place in our society, our lives and even our hearts.",no longer has a place,APPRECIATION,WORTH,NEG
I think that it is possible to argue that the computer has made us both use and not use our brain more for a number of reasons.,NONE,NONE,NONE,NONE
Firstly you could see that the introduction of computers has made us think more because of all the programmes used on them.,has made us think more,APPRECIATION,REACTION,POS
It can take quite sometime learning how to use them.,NONE,NONE,NONE,NONE
"Besides, as soon as one programme or computer is brought out it becomes out of date because people are immiediately thinking about how to improve it.",NONE,NONE,NONE,NONE
After all it was man that invented the computer.,NONE,JUDGEMENT,CAPACITY,POS
Computers can't replace the human brain (not yet anyway!).,NONE,NONE,NONE,NONE
"It is possible to say that using computers do not stop us using our brains as much, they are just quick, efficient time savers.","quick, efficient time savers",APPRECIATION,WORTH,POS
After all somebody must be glad of using a word processing programme rather than having to write or us an old fashioned type writer.,NONE,APPRECIATION,WORTH,POS
What if you were to make a mistake writing an important letter?,NONE,NONE,NONE,NONE
You would have to start again unlike pressing one key on a computer.,NONE,NONE,NONE,NONE
People claim that computer games don't need a brain to be played.,NONE,JUDGEMENT,CAPACITY,NEG
On the contrary some games are so difficult people are consulting together all over the world on how to do them.,so difficult,APPRECIATION,COMPOSITION,POS
And how are they communicating?,NONE,NONE,NONE,NONE
"By computer, which is a lot quicker efficient way rather than post or the like.",a lot quicker efficient,APPRECIATION,WORTH,POS
"I don't know about using your brain but I'd say that by working with all these time-saving, quick computers is definitely using your head.",is definitely using your head,JUDGEMENT,CAPACITY,POS
"But then there are computer games that don't need any brainpower whatsoever, just keeping your finger on a button.",don't need any brainpower whatsoever,JUDGEMENT,CAPACITY,NEG
Now this is where computers have stopped us using our brains.,have stopped us using our brains,JUDGEMENT,CAPACITY,NEG
"Despite computers saving time, they do everything for you at the touch of a button, solve the most difficult sums, check for spelling errors on essays, letters and other documents and much more.",NONE,APPRECIATION,WORTH,POS
This is why it could be said we don't use our brains as much.,we don't use our brains as much,JUDGEMENT,CAPACITY,NEG
From simple things such as homework to running a nuclear power station computers do everything for you.,do everything,APPRECIATION,WORTH,POS
In the control room Heyshams Nuclear Power Station it takes one man to run it.,NONE,APPRECIATION,WORTH,POS
Millions of pounds worth of computers do the rest.,NONE,NONE,NONE,NONE
I cannot see much brain power needed for that.,NONE,NONE,NONE,NONE
"Computers can communiate with each other, fly planes, build cars, they may even be running the country next.",NONE,JUDGEMENT,CAPACITY,POS
They have made a good number of people jobless.,jobless,JUDGEMENT,CAPACITY,NEG
No brains are needed to watch daytime television everyday are there?,No brains are needed,JUDGEMENT,CAPACITY,NEG
So for all these reasons it is possible to argue that yes computers have made the brain redundant and no they haven't.,NONE,NONE,NONE,NONE
